"BLACKWELL SHIPSTON ON STOUR",,,,,,,,,,,,
Grid ref,SP242432,Long,-1.648231,Lat,52.086627,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,2.63,,,,
June,,,,,,,,2.58,,,,
July,,,,,,,,2.07,,,,
August,,,,,,,,1.93,,,,
September,,,,,,,,0.67,,,,
October,,,,,,,,5.87,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.75,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
