"DAWLISH, THORNS RESERVOIR, HALDON",,,,,,,,,,,,
Grid ref,SX903805,Long,-3.551873,Lat,50.613864,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.08,6.49,1.15,1.15,,,
February,,,,,,1.05,3.43,1.49,1.28,,,
March,,,,,,5.08,0.99,0.77,3.78,,,
April,,,,,,2.77,1.45,4.73,1.75,,,
May,,,,,,0.82,2.44,3.20,2.67,,,
June,,,,,,2.64,1.57,2.78,0.58,,,
July,,,,,,0.46,2.09,1.74,1.78,,,
August,,,,,,3.50,2.23,0.83,4.19,,,
September,,,,,,2.94,0.80,0.53,3.92,,,
October,,,,,,1.25,6.55,9.72,2.32,,,
November,,,,,,5.47,3.25,3.85,1.34,,,
December,,,,,,1.20,1.90,5.96,3.12,,,
Total,,,,,,29.26,33.19,36.75,27.88,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,29.26,33.19,36.75,27.88,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,,
