"HENRY'S MOAT",,,,,,,,,,,,
Grid ref,SN043274,Long,-4.846612,Lat,51.910662,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.63,3.88,,
February,,,,,,,,,4.73,0.30,,
March,,,,,,,,,6.35,,,
April,,,,,,,,,4.44,,,
May,,,,,,,,,4.18,,,
June,,,,,,,,,1.74,,,
July,,,,,,,,,4.26,,,
August,,,,,,,,,7.75,,,
September,,,,,,,,,6.40,,,
October,,,,,,,,,4.83,,,
November,,,,,,,,,4.87,,,
December,,,,,,,,,9.52,,,
Total,,,,,,,,,63.70,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.70,4.18,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
