"KIRRIEMUIR LINTRATHEN GLEN DAMFF",,,,,,,,,,,,
Grid ref,NO248678,Long,-3.232782,Lat,56.795640,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.90,,,,2.90,2.00,5.00,1.50,,,,
February,2.40,,-999.00,-999.00,,2.20,2.60,1.40,,,,
March,2.00,7.20,1.70,6.50,6.50,5.40,1.40,2.20,,,,
April,2.20,4.20,3.20,2.00,3.10,3.50,1.90,3.70,,,,
May,3.50,4.00,2.00,1.80,2.90,2.60,5.60,5.50,,,,
June,4.00,1.50,3.00,2.60,2.10,1.80,1.20,4.80,,,,
July,3.20,1.70,2.80,4.80,4.50,2.60,2.40,3.20,,,,
August,4.40,5.60,3.30,5.40,5.30,4.30,5.00,4.90,,,,
September,3.00,3.70,2.90,3.30,3.00,2.00,2.00,1.10,,,,
October,3.10,3.60,2.10,8.20,2.60,4.20,5.20,4.70,,,,
November,5.70,1.40,-999.00,2.50,0.90,5.30,5.70,2.60,,,,
December,5.50,,-999.00,4.70,2.60,2.40,2.50,5.00,,,,
Total,41.90,,39.50,49.00,36.40,38.30,40.50,40.60,,,,
Calc annual,41.90,32.90,21.00,41.80,36.40,38.30,40.50,40.60,0.00,0.00,,
Difference,-0.00,NaN,18.50,7.20,0.00,0.00,0.00,-0.00,NaN,NaN,,
