"HURSTPIERPOINT HIGHFIELD",,,,,,,,,,,,
Grid ref,TQ284165,Long,-0.174114,Lat,50.933664,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.83,,,,,
February,,,,,,,3.59,,,,,
March,,,,,,,1.35,,,,,
April,,,,,,,0.79,,,,,
May,,,,,,,2.01,,,,,
June,,,,,,,2.10,,,,,
July,,,,,,,0.50,,,,,
August,,,,,,,1.99,,,,,
September,,,,,,,0.98,,,,,
October,,,,,,,5.11,,,,,
November,,,,,,6.36,7.02,,,,,
December,,,,,,0.90,2.04,,,,,
Total,,,,,,,33.31,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,7.26,33.31,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,,
