"BALLINEEN KILMEEN RECTORY",,,,,,,,,,,,
Grid ref,IW3168447538,Long,-8.988444,Lat,51.676472,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.95,5.43,2.80,,
February,,,,,,,,2.79,2.73,4.30,,
March,,,,,,,,1.79,5.90,4.82,,
April,,,,,,,,4.71,3.94,7.82,,
May,,,,,,,,6.26,2.55,2.71,,
June,,,,,,,,4.52,2.38,1.07,,
July,,,,,,,,1.95,3.97,2.00,,
August,,,,,,,,4.95,4.28,0.24,,
September,,,,,,,,2.41,5.88,0.92,,
October,,,,,,,,5.63,4.54,9.61,,
November,,,,,,,,4.32,3.82,1.22,,
December,,,,,,,,10.57,6.10,7.31,,
Total,,,,,,,,51.85,51.52,44.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.85,51.52,44.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
