"SPARKHILL [BIRMINGHAM]",,,,,,,,,,,,
Grid ref,SP094830,Long,-1.863131,Lat,52.444885,,,,,,,
Station no,2477,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.04,4.06,0.88,0.67,1.24,,
February,,,,,,0.68,2.20,1.16,1.22,0.72,,
March,,,,,,3.61,1.42,0.98,3.28,3.61,,
April,,,,,,2.38,1.22,1.95,2.74,1.95,,
May,,,,,,0.30,2.61,4.21,2.90,1.50,,
June,,,,,,2.76,3.20,3.19,2.31,3.61,,
July,,,,,,1.87,1.03,2.64,2.33,3.24,,
August,,,,,,4.80,1.33,2.61,2.57,1.93,,
September,,,,,,1.55,1.11,0.74,2.40,3.73,,
October,,,,,,1.35,5.15,5.46,2.34,3.98,,
November,,,,,,2.83,3.17,2.21,2.09,0.80,,
December,,,,,,0.87,2.16,3.83,2.40,4.87,,
Total,,,,,,24.04,28.66,29.86,27.25,31.18,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.04,28.66,29.86,27.25,31.18,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,,
