"BURY ST EDMUNDS HENGRAVE",,,,,,,,,,,,
Grid ref,TL825687,Long,0.674226,Lat,52.286128,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.31,0.34,0.65,1.70,1.38,1.15,3.41,1.16,0.72,0.85,,
February,2.51,0.64,0.78,0.16,2.97,0.99,1.94,1.38,1.63,0.40,,
March,0.96,1.48,2.17,1.65,1.33,2.71,2.05,1.02,1.74,2.43,,
April,1.58,2.14,1.00,1.29,0.79,1.65,0.60,2.02,2.89,1.24,,
May,0.99,1.24,2.48,2.34,1.73,1.38,1.25,3.04,1.42,1.18,,
June,2.47,0.70,2.51,2.94,1.23,3.01,3.36,2.38,0.85,3.41,,
July,1.88,1.90,1.45,3.40,1.88,1.38,0.44,1.79,3.39,3.28,,
August,2.28,1.16,3.09,3.67,0.79,2.13,0.90,2.10,2.49,2.43,,
September,0.92,1.18,0.85,3.62,2.38,1.72,1.19,0.27,1.06,2.46,,
October,1.77,2.03,1.36,4.54,1.36,1.95,3.67,2.44,1.55,3.29,,
November,2.11,1.27,0.98,2.19,1.07,1.57,3.39,2.36,0.94,0.93,,
December,2.25,2.95,1.44,1.01,1.34,0.84,2.05,2.24,1.62,3.93,,
Total,22.03,17.03,18.76,28.51,18.25,20.48,24.25,22.20,20.30,25.83,,
Calc annual,22.03,17.03,18.76,28.51,18.25,20.48,24.25,22.20,20.30,25.83,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
