"NANTWICH DORFOLD HALL",,,,,,,,,,,,
Grid ref,SJ636525,Long,-2.544688,Lat,53.068489,,,,,,,
Station no,2763,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.50,3.10,2.31,0.92,5.00,1.48,1.81,1.65,,
February,,,1.06,1.64,3.10,1.15,2.59,1.55,2.09,0.59,,
March,,,1.68,4.15,1.33,2.88,2.25,1.66,2.63,2.19,,
April,,,2.08,1.76,1.37,1.78,1.69,1.72,2.71,1.97,,
May,,,2.95,3.25,2.08,0.82,1.62,3.05,2.48,0.87,,
June,,,1.85,1.42,1.35,3.90,1.43,3.98,1.89,2.98,,
July,,,1.65,4.58,3.04,1.82,0.78,3.30,3.43,3.79,,
August,,,3.00,4.05,4.26,4.09,2.82,3.28,3.75,2.15,,
September,,,0.94,4.00,2.13,1.40,2.41,0.52,4.03,2.76,,
October,,,3.29,5.63,1.10,2.03,4.93,3.87,1.70,4.28,,
November,,,1.57,2.73,1.50,3.47,2.28,2.11,2.51,1.19,,
December,,,2.05,1.11,1.89,0.43,3.38,2.03,2.56,5.19,,
Total,,,23.62,37.42,25.46,24.69,31.18,28.55,31.59,29.61,,
Calc annual,0.00,0.00,23.62,37.42,25.46,24.69,31.18,28.55,31.59,29.61,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
