"CASTLE CARY PITCOMBE VICARAGE",,,,,,,,,,,,
Grid ref,ST674332,Long,-2.466927,Lat,51.097172,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.49,3.01,1.54,3.55,,,,,,,,
February,3.97,0.97,1.35,2.19,,,,,,,,
March,2.02,3.40,2.65,4.71,,,,,,,,
April,2.82,3.28,2.28,2.67,,,,,,,,
May,2.53,1.74,2.33,3.86,,,,,,,,
June,3.70,0.98,4.38,3.40,,,,,,,,
July,1.15,1.90,1.72,4.17,,,,,,,,
August,3.54,2.84,3.96,4.29,,,,,,,,
September,0.68,2.33,1.57,2.47,,,,,,,,
October,3.20,2.08,2.49,7.01,,,,,,,,
November,2.46,0.76,4.02,2.77,,,,,,,,
December,6.35,6.83,2.42,3.16,,,,,,,,
Total,36.91,30.12,30.71,44.25,,,,,,,,
Calc annual,36.91,30.12,30.71,44.25,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
