"BREWOOD BELVIDE RESERVOIR",,,,,,,,,,,,
Grid ref,SJ861103,Long,-2.207083,Lat,52.690205,,,,,,,
Station no,2340,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,1.55,0.81,1.34,2.45,0.69,3.41,1.40,1.13,1.40,,
February,2.86,1.03,0.97,1.25,3.35,1.02,1.67,1.33,1.17,0.49,,
March,0.93,1.36,1.51,3.84,1.36,3.24,1.25,1.29,2.75,1.97,,
April,0.76,1.84,1.60,1.68,1.63,1.87,1.34,1.75,2.51,2.09,,
May,2.09,1.12,3.04,2.69,2.23,0.73,2.65,3.73,4.03,1.37,,
June,2.64,1.92,1.67,0.80,0.48,2.80,2.34,2.76,2.82,3.59,,
July,2.06,4.23,1.31,1.20,2.51,1.42,0.74,3.46,2.38,3.91,,
August,3.26,3.14,4.72,4.86,3.03,4.92,2.56,2.62,3.68,1.80,,
September,0.52,0.87,1.63,3.65,2.31,1.06,1.45,1.13,2.08,2.96,,
October,3.52,2.37,2.64,5.05,0.54,1.36,4.37,4.71,2.19,3.22,,
November,2.79,1.36,1.75,2.12,1.37,2.76,2.69,2.28,1.87,0.81,,
December,3.51,2.87,1.60,1.58,1.70,0.60,1.89,2.46,1.93,4.33,,
Total,27.68,23.66,23.25,30.06,22.96,22.47,26.36,28.92,28.54,27.94,,
Calc annual,27.68,23.66,23.25,30.06,22.96,22.47,26.36,28.92,28.54,27.94,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
