"MANCHESTER NEWTON HEATH",,,,,,,,,,,,
Grid ref,SD881003,Long,-2.180860,Lat,53.499261,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.95,2.55,,,,,,,,,,
February,3.29,1.67,,,,,,,,,,
March,0.74,2.61,,,,,,,,,,
April,2.50,2.49,,,,,,,,,,
May,1.78,1.04,,,,,,,,,,
June,3.37,2.11,,,,,,,,,,
July,2.90,3.49,,,,,,,,,,
August,5.62,,,,,,,,,,,
September,1.51,,,,,,,,,,,
October,4.70,,,,,,,,,,,
November,2.78,,,,,,,,,,,
December,4.42,,,,,,,,,,,
Total,38.56,,,,,,,,,,,
Calc annual,38.56,15.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
