"CASTLEDERMOT",,,,,,,,,,,,
Grid ref,IS7816984870,Long,-6.838708,Lat,52.909258,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.03,3.20,1.66,3.86,3.22,1.49,3.13,0.38,2.18,1.40,,
February,2.62,1.67,2.10,1.98,2.68,0.87,1.91,1.25,1.49,0.54,,
March,1.09,1.56,2.10,4.61,2.28,3.53,1.79,1.08,3.44,2.68,,
April,2.14,1.73,2.46,1.34,1.15,3.23,1.37,4.28,2.27,5.30,,
May,1.87,1.46,1.51,2.32,2.41,1.43,2.91,3.09,1.89,1.77,,
June,3.78,2.15,2.74,2.30,1.10,1.02,0.79,3.63,1.14,2.30,,
July,4.32,1.13,2.91,3.58,2.60,1.14,1.46,3.41,2.81,2.74,,
August,5.40,3.57,2.67,3.29,4.36,5.46,2.18,2.27,2.99,1.35,,
September,1.25,4.15,2.99,2.91,2.65,1.36,0.88,1.52,4.73,2.10,,
October,3.36,2.86,1.93,3.29,0.93,0.90,3.85,5.06,2.62,4.70,,
November,7.73,2.67,3.87,2.10,1.35,2.51,0.98,2.62,2.06,1.71,,
December,2.71,3.23,2.31,2.05,1.83,1.36,2.09,2.50,3.10,4.21,,
Total,37.30,29.38,29.25,33.63,26.56,24.30,23.34,31.09,30.72,30.80,,
Calc annual,37.30,29.38,29.25,33.63,26.56,24.30,23.34,31.09,30.72,30.80,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
