"WELLS, WOOKEY HOLE PAPER MILLS",,,,,,,,,,,,
Grid ref,ST531478,Long,-2.673036,Lat,51.227452,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.57,2.23,1.89,,
February,,,,,,,,2.14,1.76,0.86,,
March,,,,,,,,1.01,3.42,3.64,,
April,,,,,,,,5.70,2.87,3.62,,
May,,,,,,,,2.40,1.73,1.92,,
June,,,,,,,,3.23,0.89,2.75,,
July,,,,,,,,3.93,3.31,3.77,,
August,,,,,,,,4.37,4.06,2.92,,
September,,,,,,,,0.87,3.86,3.81,,
October,,,,,,,,5.19,1.70,6.41,,
November,,,,,,,,3.46,1.44,1.16,,
December,,,,,,,,5.76,2.53,5.10,,
Total,,,,,,,,39.63,29.80,37.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.63,29.80,37.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
