"ROCHDALE BROADFIELD PARK OBSERVATORY",,,,,,,,,,,,
Grid ref,SD895130,Long,-2.160186,Lat,53.613442,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.18,3.38,2.97,4.00,3.57,2.41,5.99,2.47,4.40,3.39,,
February,5.10,1.97,1.61,4.27,4.02,2.76,4.59,2.89,4.38,2.49,,
March,0.76,4.18,2.33,5.01,2.89,4.05,3.91,4.16,3.46,3.43,,
April,3.13,3.33,2.19,2.16,3.22,3.68,2.17,2.09,2.78,4.21,,
May,1.75,1.37,3.09,3.89,3.18,0.56,3.14,4.04,3.05,2.34,,
June,5.78,1.98,1.16,1.69,1.06,3.13,1.44,7.89,1.74,2.53,,
July,3.24,2.20,2.63,4.57,1.60,2.92,2.49,3.80,5.02,6.68,,
August,6.98,3.07,3.68,6.63,5.35,5.35,5.21,4.52,3.87,3.31,,
September,1.74,1.28,2.11,5.43,1.61,2.92,1.58,1.14,4.09,3.08,,
October,6.65,3.26,4.68,9.29,2.30,4.05,8.13,5.56,1.82,6.76,,
November,4.30,6.13,2.52,4.12,4.07,4.30,4.56,3.72,3.06,1.96,,
December,6.23,6.53,3.35,2.59,3.54,0.95,5.52,4.91,3.60,8.37,,
Total,52.84,38.68,32.32,53.65,36.41,37.08,48.73,47.19,41.27,48.55,,
Calc annual,52.84,38.68,32.32,53.65,36.41,37.08,48.73,47.19,41.27,48.55,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
