"MICKLEOVER COUNTY ASYLUM",,,,,,,,,,,,
Grid ref,SK295330,Long,-1.562959,Lat,52.893645,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.55,1.74,1.08,2.11,1.99,1.02,3.53,1.26,1.06,1.11,,
February,3.38,1.09,1.56,1.18,3.27,0.74,3.14,1.89,1.56,0.29,,
March,0.55,1.97,1.39,3.44,1.93,2.75,1.73,1.44,2.55,3.33,,
April,1.16,1.89,2.29,1.89,1.85,1.69,0.71,1.36,2.45,1.18,,
May,1.44,0.96,2.77,2.77,1.74,0.46,1.95,3.21,2.33,1.54,,
June,2.33,1.89,2.36,1.17,0.55,1.16,1.71,3.22,2.01,2.25,,
July,3.77,3.46,1.21,2.45,2.08,0.89,0.46,2.31,2.07,3.64,,
August,4.70,1.89,2.93,4.79,3.26,3.09,0.90,3.54,3.77,2.02,,
September,1.08,1.02,1.14,2.85,1.95,1.42,0.82,0.75,2.09,2.59,,
October,2.56,1.65,2.72,5.19,0.69,1.41,4.52,3.83,1.07,3.32,,
November,2.23,1.95,2.31,2.23,1.47,2.66,2.58,1.70,1.58,0.48,,
December,3.88,5.10,1.66,1.17,1.58,0.50,2.57,2.97,1.53,4.27,,
Total,30.63,24.61,23.42,31.24,22.36,17.79,24.62,27.48,24.07,26.02,,
Calc annual,30.63,24.61,23.42,31.24,22.36,17.79,24.62,27.48,24.07,26.02,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
