"BELFAST SPRINGFIELD",,,,,,,,,,,,
Grid ref,IJ3183375046,Long,-5.960254,Lat,54.606568,,,,,,,
Station no,6215,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.95,3.05,2.40,5.33,3.45,2.61,4.72,2.54,3.55,2.55,,
February,3.34,2.04,2.50,3.02,4.10,2.61,3.29,2.35,3.28,3.35,,
March,1.12,3.26,2.46,4.77,2.01,3.92,2.96,4.89,4.71,4.21,,
April,3.98,2.87,2.94,1.82,3.20,2.93,2.57,2.34,4.09,4.49,,
May,3.10,1.72,3.71,2.74,2.92,2.45,4.42,4.09,2.48,1.51,,
June,3.89,3.81,2.84,2.05,1.35,3.82,1.31,5.73,3.89,2.36,,
July,4.50,1.37,5.08,4.91,3.75,1.93,2.25,2.92,3.77,4.37,,
August,5.59,3.83,3.25,5.94,4.90,6.64,5.47,3.95,2.85,3.11,,
September,2.56,3.67,5.52,3.69,3.89,1.99,1.45,1.37,4.92,2.14,,
October,4.86,4.73,1.99,7.30,1.26,1.65,4.79,4.28,2.38,5.83,,
November,5.53,4.11,3.67,2.59,2.87,3.75,3.41,2.93,3.05,1.45,,
December,3.47,4.69,3.71,3.07,2.95,2.78,4.61,4.28,4.64,4.07,,
Total,45.89,39.15,40.07,47.23,36.65,37.08,41.25,41.67,43.61,39.44,,
Calc annual,45.89,39.15,40.07,47.23,36.65,37.08,41.25,41.67,43.61,39.44,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
