"HIGHWORTH HANNINGTON HALL",,,,,,,,,,,,
Grid ref,SU175933,Long,-1.748523,Lat,51.638236,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.35,0.99,0.99,3.18,3.52,0.60,4.01,0.91,0.91,0.84,,
February,5.31,0.96,0.94,1.19,3.28,0.56,1.84,1.41,0.91,0.37,,
March,1.01,2.27,1.60,3.72,1.26,3.67,1.70,1.04,3.14,3.35,,
April,1.35,2.22,1.79,2.10,1.28,2.25,0.57,3.51,3.29,1.57,,
May,1.67,1.67,2.33,4.52,2.40,0.20,1.62,2.18,1.44,1.45,,
June,2.15,1.93,2.56,5.94,1.01,5.48,3.00,2.03,0.79,4.00,,
July,0.98,2.43,0.97,2.94,3.02,0.34,0.75,2.83,2.06,2.23,,
August,2.26,1.89,2.97,3.50,2.05,3.86,1.42,,3.38,2.47,,
September,0.36,1.43,1.27,2.54,1.35,1.20,0.73,,1.74,2.89,,
October,2.51,1.37,1.32,6.02,0.90,1.64,4.97,,1.37,3.91,,
November,1.89,0.58,1.90,1.72,1.68,3.05,2.96,,1.14,0.72,,
December,3.75,4.09,2.10,1.04,2.00,0.95,1.66,,2.01,3.62,,
Total,25.59,21.83,20.74,38.41,23.75,23.80,25.23,,22.18,27.42,,
Calc annual,25.59,21.83,20.74,38.41,23.75,23.80,25.23,13.91,22.18,27.42,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
