"DAVIDSON'S MAINS BROOMFIELD",,,,,,,,,,,,
Grid ref,NT209768,Long,-3.269130,Lat,55.977643,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.19,2.01,1.40,4.16,2.35,0.90,2.93,1.02,2.70,2.44,,
February,2.80,1.25,1.01,4.62,2.47,1.02,0.68,1.32,0.94,1.14,,
March,1.36,1.62,0.98,4.68,1.50,2.77,2.02,1.78,3.42,3.68,,
April,1.38,1.43,1.36,1.01,2.25,1.38,0.72,1.26,1.41,2.54,,
May,1.23,1.87,2.37,1.21,3.03,0.85,5.89,2.42,2.24,2.09,,
June,3.05,2.16,2.54,1.58,1.83,0.83,1.57,2.43,1.12,1.36,,
July,3.40,1.01,3.02,4.37,1.44,2.84,1.41,2.63,2.88,2.97,,
August,4.18,3.57,1.32,3.52,4.62,2.51,4.60,3.49,2.07,1.90,,
September,1.98,0.90,1.10,1.95,1.45,1.51,0.55,1.10,2.60,2.02,,
October,4.34,1.65,1.24,5.73,0.92,1.96,5.33,7.66,1.04,3.85,,
November,4.78,2.73,0.81,1.49,0.83,3.36,3.43,1.21,1.76,1.03,,
December,4.08,3.01,1.76,1.35,2.65,1.66,1.31,3.28,0.55,3.02,,
Total,35.77,23.21,18.91,35.67,25.34,21.59,30.44,29.60,22.73,28.04,,
Calc annual,35.77,23.21,18.91,35.67,25.34,21.59,30.44,29.60,22.73,28.04,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
