"AXMINSTER LEA COMBE HOUSE",,,,,,,,,,,,
Grid ref,SY300983,Long,-2.994243,Lat,50.780034,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.46,1.46,,
February,,,,,,,,,1.77,0.53,,
March,,,,,,,,,3.46,6.32,,
April,,,,,,,,,2.25,2.40,,
May,,,,,,,,,2.02,1.43,,
June,,,,,,,,,0.16,3.25,,
July,,,,,,,,,1.15,3.44,,
August,,,,,,,,,2.30,2.35,,
September,,,,,,,,,3.60,2.69,,
October,,,,,,,,,4.91,7.91,,
November,,,,,,,,,1.15,1.10,,
December,,,,,,,,,3.77,7.10,,
Total,,,,,,,,,28.00,39.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,39.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
