"WELLHOPE, WELLHEADS HUSH",,,,,,,,,,,,
Grid ref,NY824403,Long,-2.275002,Lat,54.757330,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.30,,,,,,,,,,
February,,2.00,,,,,,,,,,
March,,3.70,,,,,,,,,,
April,,2.60,,,,,,,,,,
May,,1.40,,,,,,,,,,
June,,3.50,,,,,,,,,,
July,,2.15,,,,,,,,,,
August,,3.55,,,,,,,,,,
September,,2.50,,,,,,,,,,
October,,4.20,,,,,,,,,,
November,6.05,7.15,,,,,,,,,,
December,8.95,5.10,,,,,,,,,,
Total,,42.15,,81.80,46.55,38.05,52.60,51.40,46.10,46.85,,
Calc annual,15.00,42.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,81.80,46.55,38.05,52.60,51.40,46.10,46.85,,
