"UPPER DON, CARN CUILCHATHAIDH, NO 17",,,,,,,,,,,,
Grid ref,NJ205076,Long,-3.315707,Lat,57.152365,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.20,5.10,2.30,1.60,2.60,2.50,,,,
February,,,1.50,5.50,3.60,2.20,2.70,3.00,,,,
March,,,1.90,3.80,1.70,5.20,3.20,1.55,,,,
April,,,2.30,4.10,3.30,2.80,1.70,3.40,,,,
May,,,5.60,2.30,2.40,1.50,5.60,4.70,,,,
June,,,3.00,1.50,1.70,1.10,1.50,4.00,,,,
July,,,4.10,5.50,1.40,1.50,1.30,2.20,,,,
August,,,3.00,5.60,4.40,4.90,3.20,4.00,,,,
September,,,2.40,3.30,2.20,1.80,1.60,1.50,,,,
October,,,3.10,6.60,1.60,5.20,6.00,4.30,,,,
November,,,4.70,3.20,2.00,6.80,8.00,2.25,,,,
December,,,4.80,2.60,3.40,1.90,4.50,2.40,,,,
Total,,,38.60,49.10,30.00,36.50,41.90,35.80,,,,
Calc annual,0.00,0.00,38.60,49.10,30.00,36.50,41.90,35.80,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
