"ABERLOUR ORPHANAGE",,,,,,,,,,,,
Grid ref,NJ271430,Long,-3.217106,Lat,57.471380,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.56,,
February,,,,,,,,,,1.80,,
March,,,,,,,,,,5.50,,
April,,,,,,,,,,3.85,,
May,,,,,,,,,,3.00,,
June,,,,,,,,,,1.25,,
July,,,,,,,,,,4.00,,
August,,,,,,,,,,2.35,,
September,,,,,,,,,,3.10,,
October,,,,,,,,,,3.00,,
November,,,,,,,,,,2.50,,
December,,,,,,,,,,2.00,,
Total,,,,,,,,,,33.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
