"WICK  COASTGUARD STN.",,,,,,,,,,,,
Grid ref,ND374498,Long,-3.073699,Lat,58.432019,,,,,,,
Station no,5809,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.20,2.86,2.82,2.90,1.50,2.30,1.78,3.57,2.38,2.85,,
February,2.57,3.21,1.42,2.68,1.83,3.67,4.52,2.89,3.32,1.54,,
March,2.14,2.09,1.81,1.37,1.40,3.23,2.45,2.09,3.61,1.82,,
April,1.97,3.00,1.40,2.96,3.86,3.37,2.39,2.22,2.14,2.50,,
May,2.66,1.57,1.81,1.60,1.68,1.13,4.28,1.44,2.75,2.51,,
June,1.57,2.61,1.83,1.30,1.35,1.14,0.60,4.12,2.00,2.67,,
July,4.20,1.64,3.55,4.76,1.26,2.25,2.40,1.32,1.63,2.79,,
August,2.29,3.85,2.21,4.34,3.30,3.03,2.12,3.61,2.04,2.85,,
September,3.19,0.71,2.38,2.71,2.65,3.12,1.73,1.13,4.74,2.20,,
October,3.48,3.83,2.41,4.39,2.27,4.66,3.14,3.27,1.33,3.14,,
November,3.72,3.04,0.92,5.04,2.31,3.09,4.40,1.83,3.23,5.92,,
December,3.15,3.70,3.87,1.85,1.88,1.31,3.38,2.13,2.84,2.76,,
Total,33.14,32.11,26.43,35.90,25.29,32.30,33.19,29.62,32.01,33.55,,
Calc annual,33.14,32.11,26.43,35.90,25.29,32.30,33.19,29.62,32.01,33.55,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
