"GOMERSALL CASTLE HILL",,,,,,,,,,,,
Grid ref,SE209245,Long,-1.684792,Lat,53.716500,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.45,1.19,,
February,,,,,,,,,1.33,0.57,,
March,,,,,,,,,3.26,2.68,,
April,,,,,,,,,2.44,2.60,,
May,,,,,,,,,2.11,1.99,,
June,,,,,,,,,1.20,3.43,,
July,,,,,,,,,2.48,3.28,,
August,,,,,,,,,2.00,2.60,,
September,,,,,,,,,2.93,1.69,,
October,,,,,,,,,1.26,2.11,,
November,,,,,,,,,1.38,0.37,,
December,,,,,,,,,1.31,5.27,,
Total,,,,,,,,,23.15,27.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.15,27.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
