"TARPORLEY WILLINGTON HALL",,,,,,,,,,,,
Grid ref,SJ533660,Long,-2.700366,Lat,53.189028,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.37,2.12,1.13,4.89,1.13,2.13,1.47,,
February,,,,1.46,3.83,1.00,2.24,1.37,2.30,0.62,,
March,,,,4.07,1.71,2.75,2.21,1.85,2.90,2.53,,
April,,,,1.42,0.86,1.75,1.08,1.26,2.96,2.26,,
May,,,,3.34,2.00,0.89,2.33,3.46,2.51,1.00,,
June,,,,1.72,1.39,3.31,1.33,4.46,1.81,3.14,,
July,,,,3.11,2.36,2.86,1.03,3.84,4.61,4.30,,
August,,,,4.10,4.04,3.26,2.81,3.54,2.64,3.93,,
September,,,,4.01,1.61,1.74,1.93,0.71,3.73,2.62,,
October,,,,5.49,2.16,2.06,4.67,4.41,1.78,4.16,,
November,,,,3.00,1.72,3.27,1.72,2.20,2.24,1.17,,
December,,,,1.33,2.46,0.58,3.86,2.11,2.64,5.72,,
Total,,,,35.42,26.26,24.60,30.10,30.34,32.25,32.92,,
Calc annual,0.00,0.00,0.00,35.42,26.26,24.60,30.10,30.34,32.25,32.92,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
