"CHRISTCHURCH HERON COURT",,,,,,,,,,,,
Grid ref,SZ121957,Long,-1.829812,Lat,50.760769,,,,,,,
Station no,619,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.20,1.91,1.22,2.19,4.92,1.19,8.72,1.00,0.90,,,
February,4.18,1.33,1.81,2.25,4.40,0.99,3.68,1.59,1.31,,,
March,1.40,3.26,3.02,3.45,1.38,5.07,1.29,0.56,3.32,,,
April,1.41,3.06,1.69,2.77,0.78,0.97,1.00,3.57,2.91,,,
May,1.39,0.92,2.24,3.26,2.91,0.44,2.90,1.69,1.74,,,
June,2.56,0.90,3.18,2.04,0.88,2.56,1.30,1.22,0.78,,,
July,0.51,2.35,1.80,3.42,2.07,0.51,1.48,1.75,1.83,2.11,,
August,2.72,2.59,5.05,3.85,2.55,3.62,0.51,1.82,3.28,2.97,,
September,0.23,3.45,2.26,2.62,3.66,1.45,0.65,1.47,2.41,3.33,,
October,1.46,2.72,1.89,10.32,2.67,1.65,7.86,9.76,1.58,8.40,,
November,5.30,0.55,3.59,2.07,1.30,4.60,4.31,3.46,0.90,0.93,,
December,5.17,5.01,1.83,2.86,5.14,1.30,2.33,4.11,3.13,4.59,,
Total,29.53,28.05,29.58,41.10,32.66,24.35,36.03,32.00,24.09,,,
Calc annual,29.53,28.05,29.58,41.10,32.66,24.35,36.03,32.00,24.09,22.33,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
