"DISLEY LYME PARK",,,,,,,,,,,,
Grid ref,SJ970836,Long,-2.046529,Lat,53.349281,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,4.73,,
August,,,,,,,,,,2.73,,
September,,,,,,,,,,2.68,,
October,,,,,,,,,,5.27,,
November,,,,,,,,,,1.35,,
December,,,,,,,,,,5.95,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
