"KIRRIEMUIR LINTRATHEN BARNEY",,,,,,,,,,,,
Grid ref,NO251634,Long,-3.226582,Lat,56.756170,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.50,,4.60,3.50,2.90,1.50,4.00,1.70,,,,
February,5.50,4.50,1.60,4.70,4.70,2.00,2.70,2.10,,,,
March,1.10,2.90,2.20,6.30,1.90,6.00,2.40,1.70,,,,
April,2.30,4.50,3.00,2.30,3.30,3.50,1.80,3.50,,,,
May,3.90,3.50,1.90,1.70,2.80,2.80,5.50,4.60,,,,
June,4.00,1.40,3.00,2.50,2.00,2.40,1.20,4.40,,,,
July,3.20,3.10,2.60,4.50,3.00,3.50,2.10,2.70,,,,
August,4.10,5.40,3.60,5.10,5.20,4.30,4.90,4.10,,,,
September,3.00,3.10,2.90,3.20,2.90,2.70,2.10,1.40,,,,
October,3.40,3.50,2.10,7.70,2.40,2.80,4.50,4.60,,,,
November,4.70,1.30,11.00,2.10,1.30,7.40,5.60,2.40,,,,
December,5.20,,3.50,6.60,2.80,3.40,2.00,4.30,,,,
Total,44.90,,42.00,50.20,35.20,42.30,38.80,37.50,,,,
Calc annual,44.90,33.20,42.00,50.20,35.20,42.30,38.80,37.50,0.00,0.00,,
Difference,0.00,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
