"ARRAN, BRODICK U. F. MANSE",,,,,,,,,,,,
Grid ref,NS014359,Long,-5.151988,Lat,55.576161,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,4.74,7.74,8.49,,
February,,,,,,,,4.64,6.33,4.50,,
March,,,,,,,,7.12,7.17,3.12,,
April,,,,,,,,2.38,4.52,5.27,,
May,,,,,,,,6.50,3.15,2.71,,
June,,,,,,,,6.97,3.66,4.42,,
July,,,,,,,,2.49,5.15,5.67,,
August,,,,,,,,8.00,4.36,4.79,,
September,,,,,,,,2.30,8.49,3.75,,
October,,,,,,,,6.14,2.95,10.10,,
November,,,,,,,,7.12,6.95,4.39,,
December,,,,,,,,10.08,7.75,7.23,,
Total,,,,,,,,68.48,68.22,64.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.48,68.22,64.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
