"STAINBOROUGH WENTWORTH CASTLE",,,,,,,,,,,,
Grid ref,SE319032,Long,-1.520295,Lat,53.524503,,,,,,,
Station no,RR380,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,1.92,1.16,2.48,2.92,0.39,3.78,0.98,1.79,1.66,,
February,4.74,1.48,1.78,2.31,4.46,1.11,2.46,1.50,2.26,0.57,,
March,0.87,2.81,1.22,3.67,2.09,2.61,1.59,1.55,3.34,3.54,,
April,0.98,1.40,2.60,1.76,1.82,2.29,0.82,1.93,2.08,1.64,,
May,1.38,1.47,2.49,3.98,3.25,0.58,2.11,3.81,2.54,1.90,,
June,2.68,1.08,1.95,1.68,0.80,1.81,1.45,2.91,1.58,4.48,,
July,3.85,5.08,1.88,3.42,1.19,1.89,2.42,1.28,2.22,3.46,,
August,5.77,1.46,3.93,3.62,4.32,3.44,1.38,1.82,2.30,2.13,,
September,0.30,0.86,1.45,3.55,0.79,1.03,0.68,0.39,1.66,2.78,,
October,2.94,1.82,3.02,7.84,0.44,1.64,5.66,5.72,1.21,2.24,,
November,2.42,3.56,2.56,1.12,1.02,4.59,3.03,2.58,1.18,0.50,,
December,4.28,5.20,2.62,1.48,1.67,0.63,1.73,2.23,1.44,5.05,,
Total,33.01,28.14,26.66,36.91,24.77,22.01,27.11,26.70,23.60,29.95,,
Calc annual,33.01,28.14,26.66,36.91,24.77,22.01,27.11,26.70,23.60,29.95,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
