"CRIEFF  THE HYDROPATHIC",,,,,,,,,,,,
Grid ref,NN866223,Long,-3.837937,Lat,56.379344,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.30,4.18,5.12,,
February,,,,,,,,2.83,3.06,0.95,,
March,,,,,,,,2.88,4.75,4.03,,
April,,,,,,,,2.57,0.93,4.18,,
May,,,,,,,,4.29,2.41,3.49,,
June,,,,,,,,4.57,1.83,2.06,,
July,,,,,,,,3.31,3.53,2.53,,
August,,,,,,,,4.88,3.47,2.48,,
September,,,,,,,,1.45,5.55,1.67,,
October,,,,,,,,5.05,3.23,5.81,,
November,,,,,,,,2.81,3.70,1.47,,
December,,,,,,,,5.36,3.74,4.52,,
Total,,,,,,,,42.30,40.38,38.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.30,40.38,38.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
