"GLENGAIRN LITTLE CULLARDOCH NO 12",,,,,,,,,,,,
Grid ref,NJ198006,Long,-3.325027,Lat,57.089378,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.00,4.95,3.00,1.70,3.50,2.50,2.50,,,
February,,,1.00,4.85,3.90,2.70,3.20,2.90,3.70,,,
March,,,2.20,4.80,2.00,5.40,3.40,1.50,6.50,,,
April,,,2.10,3.70,3.80,2.50,1.80,3.80,3.06,,,
May,,,4.90,2.10,3.10,2.50,5.50,6.00,2.30,,,
June,,,1.90,1.60,1.50,2.00,1.60,3.50,2.00,,,
July,,,2.90,4.60,1.50,3.10,1.30,2.70,4.50,,,
August,,,2.60,5.10,4.40,3.90,3.50,4.20,3.20,,,
September,,,3.40,4.20,3.10,2.50,2.50,1.40,5.80,,,
October,,,3.00,6.00,1.20,4.50,6.20,5.10,1.80,,,
November,,,3.60,2.50,1.60,8.70,8.10,2.80,2.50,,,
December,,,4.40,2.30,3.30,2.70,4.30,3.20,2.10,,,
Total,,,34.00,46.70,32.40,42.20,44.90,39.60,39.90,,,
Calc annual,0.00,0.00,34.00,46.70,32.40,42.20,44.90,39.60,39.96,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,NaN,,
