"BRAEMAR, DERRY LODGE NO. 6",,,,,,,,,,,,
Grid ref,NO041934,Long,-3.581240,Lat,57.021719,,,,,,,
Station no,5629,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.97,8.16,3.95,2.83,4.67,2.45,2.79,4.58,,
February,,,1.20,5.85,3.13,2.72,3.13,4.24,4.77,1.27,,
March,,,2.65,7.46,1.82,5.48,3.97,2.84,7.64,8.00,,
April,,,2.65,2.80,4.48,2.73,1.90,3.07,2.98,3.64,,
May,,,4.78,1.38,2.56,2.12,5.37,3.26,1.73,3.12,,
June,,,1.62,1.70,1.53,2.88,1.39,3.76,1.77,1.10,,
July,,,2.86,3.34,2.05,2.52,2.09,1.93,2.89,2.44,,
August,,,2.87,5.45,4.22,3.96,4.15,4.24,2.16,2.18,,
September,,,2.45,3.08,2.63,2.09,1.70,1.15,6.15,2.00,,
October,,,4.61,6.81,2.10,5.00,6.28,3.02,1.10,6.22,,
November,,,3.38,3.62,2.22,6.62,6.79,2.73,3.56,2.68,,
December,,,5.52,2.81,3.41,2.48,4.26,2.56,2.88,2.51,,
Total,,,37.56,52.46,34.10,41.43,45.70,35.25,40.42,39.74,,
Calc annual,0.00,0.00,37.56,52.46,34.10,41.43,45.70,35.25,40.42,39.74,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
