"LOCH ARKLET CORRIEHICHON",,,,,,,,,,,,
Grid ref,NN374085,Long,-4.625335,Lat,56.241131,,,,,,,
Station no,5376,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,7.90,13.80,6.50,10.00,9.90,,
February,,,,,,6.70,8.00,8.70,6.80,5.30,,
March,,,,,,11.00,7.00,7.90,7.70,2.10,,
April,,,,,,4.90,3.50,4.60,2.20,8.10,,
May,,,,,,3.50,7.50,8.40,4.90,5.50,,
June,,,,,,3.10,1.20,7.30,5.20,3.70,,
July,,,,,,5.00,6.70,3.20,7.40,5.70,,
August,,,,,,8.60,9.80,11.00,8.00,5.80,,
September,,,,,,5.90,5.20,3.20,13.90,3.80,,
October,,,,,,5.60,10.90,6.20,3.60,13.60,,
November,,,,,,9.50,8.20,6.70,8.20,6.30,,
December,,,,,,10.00,7.30,11.00,9.80,10.50,,
Total,,,,,,81.70,89.10,84.70,87.70,80.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,81.70,89.10,84.70,87.70,80.30,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
