"BRADFORD THORNTON MOOR FILTERS",,,,,,,,,,,,
Grid ref,SE049335,Long,-1.927091,Lat,53.797784,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.46,3.27,3.28,3.80,3.93,1.50,6.46,1.91,2.90,2.62,,
February,5.66,1.99,1.71,4.41,4.61,1.47,2.85,2.57,2.86,2.09,,
March,1.11,3.57,2.09,5.42,2.65,2.91,2.72,3.91,4.49,3.63,,
April,2.51,3.10,2.14,2.19,2.63,2.89,1.91,2.88,3.44,4.39,,
May,2.21,1.46,3.27,4.02,3.51,0.66,4.16,3.95,3.16,3.23,,
June,4.43,1.40,2.33,1.75,1.55,2.30,1.46,6.38,2.44,3.27,,
July,2.56,2.30,3.48,4.94,2.22,1.72,2.56,3.36,4.62,5.35,,
August,6.30,2.57,4.36,4.66,5.33,6.22,5.55,3.46,3.09,3.65,,
September,1.31,1.67,2.55,6.12,1.05,2.13,1.27,1.00,3.45,4.13,,
October,5.71,3.13,4.81,12.37,1.46,3.15,7.59,7.16,3.29,4.21,,
November,5.30,6.86,3.64,2.51,3.34,4.57,5.48,3.31,3.58,1.74,,
December,5.42,5.04,4.16,2.58,2.59,1.10,3.63,4.62,3.17,4.58,,
Total,47.98,36.36,37.82,54.77,34.87,30.62,45.64,44.51,40.49,42.89,,
Calc annual,47.98,36.36,37.82,54.77,34.87,30.62,45.64,44.51,40.49,42.89,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
