"NEWCASTLE & GATESHEAD W.W. WHITTLE DEAN",,,,,,,,,,,,
Grid ref,NZ065680,Long,-1.899907,Lat,55.006523,,,,,,,
Station no,3570,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.28,1.30,0.98,2.21,1.39,0.44,2.30,0.47,1.35,1.22,,
February,4.38,1.15,1.56,1.33,1.91,0.84,0.76,1.09,1.26,1.91,,
March,1.04,1.43,1.46,1.84,1.52,1.56,1.37,1.18,3.34,3.67,,
April,1.36,1.12,1.21,1.01,1.52,2.99,1.30,2.32,1.87,2.59,,
May,1.36,1.99,1.86,2.12,2.32,0.74,3.99,2.82,2.25,1.66,,
June,3.79,1.31,2.34,2.16,2.28,0.89,2.19,3.46,0.57,2.56,,
July,1.49,3.89,2.26,4.19,1.18,1.54,1.28,1.62,3.14,1.79,,
August,3.95,1.59,1.64,3.26,2.34,3.42,5.09,2.40,1.38,3.29,,
September,0.90,1.27,0.64,1.29,1.13,1.91,0.58,0.61,2.32,1.79,,
October,4.37,2.08,2.21,5.67,0.73,2.14,3.91,5.98,1.91,2.19,,
November,3.05,3.68,2.43,1.94,2.62,3.98,3.15,1.51,1.41,0.52,,
December,1.93,2.38,1.75,1.57,1.59,0.70,1.38,2.56,0.57,3.04,,
Total,30.90,23.19,20.34,28.59,20.53,21.15,27.30,26.02,21.37,26.23,,
Calc annual,30.90,23.19,20.34,28.59,20.53,21.15,27.30,26.02,21.37,26.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
