"WOOLWICH BLOOMFIELD ROAD SCHOOL",,,,,,,,,,,,
Grid ref,TQ439781,Long,0.071009,Lat,51.483553,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.67,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,1.60,,,
May,,,,,,,,,1.22,,,
June,,,,,,,,,1.27,,,
July,,,,,,,,,3.07,,,
August,,,,,,,,,,,,
September,,,,,,,,,0.96,,,
October,,,,,,,,,0.90,,,
November,,,,,,,,,0.33,,,
December,,,,,,,,,2.10,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.45,0.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
