"DROITWICH FRIAR STREET DEPOT",,,,,,,,,,,,
Grid ref,SO895636,Long,-2.155294,Lat,52.270453,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.90,,
February,,,,,,,,,,0.43,,
March,,,,,,,,,,2.62,,
April,,,,,,,,,,2.10,,
May,,,,,,,,,,1.15,,
June,,,,,,,,,,3.64,,
July,,,,,,,,,2.30,3.05,,
August,,,,,,,,,2.61,1.97,,
September,,,,,,,,,1.42,3.43,,
October,,,,,,,,,1.96,3.39,,
November,,,,,,,,,1.53,0.78,,
December,,,,,,,,,1.87,4.01,,
Total,,,,,,,,,,27.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.69,27.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
