"HORNCASTLE",,,,,,,,,,,,
Grid ref,TF251695,Long,-0.128318,Lat,53.207854,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.92,0.84,0.80,2.66,1.12,1.36,1.35,,
February,,,,0.52,3.71,0.80,2.38,1.73,1.74,0.79,,
March,,,,3.26,1.59,2.22,2.42,1.58,2.23,3.68,,
April,,,,1.98,1.01,1.75,0.63,1.74,2.56,1.69,,
May,,,,2.28,1.54,0.96,1.33,3.79,1.50,1.11,,
June,,,,0.97,0.87,2.18,1.55,2.41,1.34,5.35,,
July,,,,2.34,2.92,1.31,0.55,1.55,3.64,4.35,,
August,,,,4.41,2.89,3.31,2.11,1.78,2.64,3.64,,
September,,,,3.45,2.95,2.44,1.40,0.73,1.62,1.24,,
October,,,,6.72,1.74,2.25,5.08,4.61,1.14,3.15,,
November,,,,1.99,1.07,2.73,3.67,2.40,1.24,0.53,,
December,,,,1.13,1.94,0.88,1.83,2.71,1.84,4.95,,
Total,,,,30.97,23.07,21.63,25.61,26.15,22.85,31.83,,
Calc annual,0.00,0.00,0.00,30.97,23.07,21.63,25.61,26.15,22.85,31.83,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
