"PENSFORD SUTTON COURT",,,,,,,,,,,,
Grid ref,ST597604,Long,-2.579949,Lat,51.341248,,,,,,,
Station no,1974,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.93,2.64,1.77,4.72,4.34,0.86,5.55,1.72,1.71,1.57,,
February,8.02,1.46,1.08,2.38,4.91,1.03,2.99,1.88,1.93,0.66,,
March,1.90,3.19,2.11,5.79,2.32,5.28,2.28,1.00,3.68,3.38,,
April,2.28,3.29,1.52,3.12,2.51,2.65,1.11,3.92,2.57,2.65,,
May,2.94,1.19,2.40,3.48,3.20,0.09,3.32,2.91,1.82,2.14,,
June,2.82,1.85,3.31,5.65,1.78,4.23,2.87,3.13,0.81,3.96,,
July,1.03,2.16,2.27,2.32,2.88,0.58,1.42,3.22,3.42,3.20,,
August,3.95,1.88,3.66,5.57,3.31,3.93,2.21,2.96,5.49,2.64,,
September,1.08,2.04,1.92,3.16,1.56,1.93,1.04,0.88,2.67,2.96,,
October,4.29,2.25,2.28,8.86,1.27,2.12,6.06,5.69,2.30,6.00,,
November,4.36,0.75,3.22,2.47,2.44,3.37,3.62,3.18,1.30,1.67,,
December,8.78,6.44,2.98,4.08,2.01,1.31,1.94,6.24,3.03,5.34,,
Total,47.38,29.14,28.52,51.60,32.53,27.38,34.41,36.73,30.73,36.17,,
Calc annual,47.38,29.14,28.52,51.60,32.53,27.38,34.41,36.73,30.73,36.17,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
