"HARROGATE ST JAMES' PARK",,,,,,,,,,,,
Grid ref,SE309544,Long,-1.530275,Lat,53.984734,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.25,,,,
February,,,,,,,,1.70,,,,
March,,,,,,,,2.02,,,,
April,,,,,,,,1.14,,,,
May,,,,,,,,4.13,,,,
June,,,,,,,,2.91,,,,
July,,,,,,,,1.53,,,,
August,,,,,,,,1.33,,,,
September,,,,,,,,0.88,,,,
October,,,,,,,,6.19,,,,
November,,,,,,,,2.45,,,,
December,,,,,,,,2.98,,,,
Total,,,,,,,,28.51,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.51,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
