"OLDHAM (GAS WORKS)",,,,,,,,,,,,
Grid ref,SD907022,Long,-2.141722,Lat,53.516392,,,,,,,
Station no,2842,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.36,2.11,2.85,3.17,3.70,2.27,4.38,1.70,3.51,2.15,,
February,2.98,1.99,1.64,3.57,3.94,2.31,3.64,2.01,3.24,1.78,,
March,0.49,2.81,2.22,4.92,2.34,4.04,3.41,3.35,3.07,3.07,,
April,3.27,2.42,2.08,2.22,2.73,3.05,1.92,2.20,2.15,3.45,,
May,1.87,1.32,2.96,3.34,2.82,0.62,3.41,3.95,2.25,1.67,,
June,6.86,1.98,1.45,1.83,0.87,3.58,1.48,7.42,2.13,2.24,,
July,3.02,3.57,2.58,5.46,1.26,2.47,2.16,3.46,5.58,5.73,,
August,6.10,1.94,3.56,5.16,5.10,4.42,4.22,4.47,3.81,3.69,,
September,1.79,0.96,1.67,5.38,1.74,2.82,1.69,1.09,3.91,2.18,,
October,6.08,3.49,5.02,8.56,1.59,3.61,6.06,5.50,1.20,5.67,,
November,2.88,5.84,1.93,3.82,2.94,3.69,3.77,3.25,2.45,1.69,,
December,4.82,6.17,2.89,1.72,2.88,0.79,3.93,3.93,2.73,6.69,,
Total,45.52,34.60,30.85,49.15,31.91,33.67,40.07,42.33,36.03,40.01,,
Calc annual,45.52,34.60,30.85,49.15,31.91,33.67,40.07,42.33,36.03,40.01,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
