"CHESTER NORTHGATE STATION",,,,,,,,,,,,
Grid ref,SJ405670,Long,-2.892093,Lat,53.196735,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.10,1.90,1.80,2.53,2.07,1.20,4.87,1.36,1.71,1.27,,
February,3.37,1.28,1.75,1.54,3.69,1.03,2.31,1.05,1.98,1.12,,
March,1.05,1.57,1.63,4.06,1.78,2.65,1.89,1.61,2.40,2.06,,
April,0.96,1.85,2.13,1.70,0.87,1.75,0.81,1.60,2.90,1.74,,
May,1.27,0.96,3.47,2.90,2.00,0.89,2.29,3.41,2.34,0.99,,
June,1.79,1.76,1.48,1.34,1.42,3.17,1.15,4.49,1.90,3.03,,
July,1.66,4.29,2.20,3.89,1.42,1.57,1.13,2.56,2.40,3.06,,
August,6.57,2.79,2.69,3.56,3.65,3.42,2.71,2.60,2.87,2.74,,
September,0.67,0.70,1.22,3.67,1.86,1.45,1.23,0.55,3.44,2.75,,
October,3.89,2.95,3.51,6.11,1.22,1.89,4.11,3.27,1.60,3.39,,
November,3.07,3.03,1.50,2.90,1.77,2.78,2.00,2.17,1.80,0.87,,
December,2.57,4.34,2.41,1.59,2.46,0.29,3.26,1.55,1.71,4.46,,
Total,29.97,27.42,25.79,35.79,24.21,22.09,27.76,26.22,27.05,27.48,,
Calc annual,29.97,27.42,25.79,35.79,24.21,22.09,27.76,26.22,27.05,27.48,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,,
