"BRECHIN STRACATHRO GARDENS",,,,,,,,,,,,
Grid ref,NO622654,Long,-2.620179,Lat,56.778629,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.80,2.27,0.54,2.90,2.03,0.65,2.49,0.73,2.07,1.34,,
February,4.78,2.09,1.88,3.55,4.61,1.46,1.55,1.22,0.64,0.49,,
March,1.87,1.87,1.14,3.66,2.63,4.41,1.16,1.46,4.03,4.55,,
April,2.39,2.69,2.71,1.75,1.76,2.74,1.32,2.72,1.16,3.38,,
May,2.03,1.62,2.46,1.58,2.31,1.74,5.68,6.75,1.35,2.33,,
June,2.46,1.56,2.20,2.20,0.96,0.60,0.32,4.32,1.02,2.10,,
July,3.76,1.10,2.80,4.47,0.77,1.56,1.75,2.26,2.28,3.50,,
August,3.05,3.12,3.31,4.80,4.84,3.22,4.17,3.05,2.63,2.19,,
September,2.46,1.61,1.76,2.65,2.78,1.35,1.22,1.26,3.62,0.74,,
October,3.06,2.64,1.44,6.58,0.72,2.33,3.69,3.95,3.73,2.97,,
November,4.17,1.77,5.03,1.12,0.80,5.94,4.78,2.22,1.75,1.85,,
December,4.73,4.45,4.70,4.38,2.36,1.60,2.02,3.70,1.89,2.79,,
Total,38.56,26.79,29.97,39.64,26.57,27.60,30.15,33.64,26.17,28.23,,
Calc annual,38.56,26.79,29.97,39.64,26.57,27.60,30.15,33.64,26.17,28.23,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
