"OUNDLE HEMINGTON VICARAGE",,,,,,,,,,,,
Grid ref,TL092849,Long,-0.394553,Lat,52.451153,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.54,1.85,0.81,,,,,,
February,,,,0.56,2.47,0.65,,,,,,
March,,,,2.69,1.15,2.14,,,,,,
April,,,,1.19,0.92,1.77,,,,,,
May,,,,3.02,1.77,1.05,,,,,,
June,,,,3.81,0.68,2.35,,,,,,
July,,,,2.91,1.80,1.37,,,,,,
August,,,,3.45,0.46,3.17,,,,,,
September,,,,3.06,3.10,1.93,,,,,,
October,,,,5.71,0.63,1.37,,,,,,
November,,,,1.96,1.20,2.63,,,,,,
December,,,,0.95,2.12,0.94,,,,,,
Total,,,,30.85,18.15,20.18,,,,,,
Calc annual,0.00,0.00,0.00,30.85,18.15,20.18,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
