"DOUGLAS CRONKBOURNE",,,,,,,,,,,,
Grid ref,SC371775,Long,-4.496834,Lat,54.167373,,,,,,,
Station no,RR30,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.77,3.00,2.50,5.58,3.42,1.92,5.05,1.91,3.63,,,
February,4.58,2.73,4.21,3.22,4.93,1.90,3.94,2.72,2.40,,,
March,1.16,2.76,1.99,4.06,3.17,4.66,2.46,3.67,3.80,,,
April,2.88,2.93,2.02,1.82,2.34,2.95,1.97,2.89,3.08,,,
May,2.91,1.63,3.51,3.07,2.66,2.04,4.99,3.49,2.18,,,
June,2.65,3.48,1.52,2.73,1.70,3.39,1.19,4.94,,,,
July,2.33,1.28,3.69,4.83,2.37,1.45,2.42,1.84,,,,
August,6.84,4.27,3.45,4.26,4.39,5.63,4.57,4.48,,,,
September,2.26,3.38,3.56,6.32,4.02,2.25,1.34,1.03,,,,
October,6.09,6.55,4.37,9.17,2.10,3.64,5.14,7.08,,,,
November,6.33,5.73,4.53,4.61,3.35,5.12,4.51,4.16,,,,
December,5.24,6.12,4.72,4.74,3.31,1.81,5.49,5.78,,,,
Total,48.04,43.86,40.07,54.41,37.76,36.76,43.07,43.99,,,,
Calc annual,48.04,43.86,40.07,54.41,37.76,36.76,43.07,43.99,15.09,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,,
