"BOLTON -LE - SANDS THE LAURELS",,,,,,,,,,,,
Grid ref,SD485683,Long,-2.789184,Lat,54.107989,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.86,1.96,,
February,,,,,,,,,1.63,2.49,,
March,,,,,,,,,2.92,2.75,,
April,,,,,,,,,2.06,3.12,,
May,,,,,,,,,2.65,1.91,,
June,,,,,,,,,2.73,1.91,,
July,,,,,,,,,3.11,5.93,,
August,,,,,,,,,4.69,3.84,,
September,,,,,,,,,4.82,2.98,,
October,,,,,,,,,2.21,6.01,,
November,,,,,,,,,3.66,1.71,,
December,,,,,,,,,2.81,7.82,,
Total,,,,,,,,,37.15,42.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.15,42.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
