"FOLKESTONE RADNOR PARK",,,,,,,,,,,,
Grid ref,TR222365,Long,1.171267,Lat,51.084762,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.24,1.08,2.56,0.49,0.92,0.86,,
February,,,,,2.38,0.53,1.69,1.04,1.08,0.42,,
March,,,,,1.45,3.28,1.43,0.76,1.57,2.36,,
April,,,,,1.01,1.95,0.91,1.77,1.17,1.62,,
May,,,,,1.46,0.63,1.45,2.21,0.92,0.72,,
June,,,,,0.72,4.12,1.50,1.59,0.89,2.40,,
July,,,,,0.82,1.03,0.67,1.56,2.56,2.21,,
August,,,,,1.67,1.77,0.63,1.58,2.33,1.97,,
September,,,,,1.48,2.23,1.61,0.39,1.02,2.38,,
October,,,,,1.84,1.70,3.28,4.60,0.94,6.19,,
November,,,,2.93,1.03,3.23,5.76,1.30,1.05,0.94,,
December,,,,2.84,2.68,0.46,1.98,2.00,2.19,3.71,,
Total,,,,,19.78,22.01,23.47,19.29,16.64,25.78,,
Calc annual,0.00,0.00,0.00,5.77,19.78,22.01,23.47,19.29,16.64,25.78,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
