"DUNBLANE KIPPENDAVIE",,,,,,,,,,,,
Grid ref,NN792022,Long,-3.948486,Lat,56.197032,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.75,2.10,2.89,6.75,3.88,2.60,5.96,3.49,3.86,5.00,,
February,4.39,0.98,1.71,6.62,3.51,3.29,3.55,3.75,1.98,2.65,,
March,1.12,2.10,1.91,6.45,2.33,6.24,3.34,4.14,3.94,3.80,,
April,2.53,2.55,1.95,2.20,5.31,3.20,1.75,3.28,1.12,4.15,,
May,2.91,1.78,1.92,2.53,6.55,2.96,6.10,4.35,2.94,3.50,,
June,3.85,3.04,2.62,3.78,2.15,2.40,2.08,6.09,1.76,0.80,,
July,4.48,2.60,4.20,5.50,3.20,2.88,2.18,4.45,2.11,1.20,,
August,4.26,3.88,4.90,6.80,4.94,5.53,5.17,5.71,4.08,4.55,,
September,3.30,3.04,2.61,4.20,5.29,1.94,2.08,1.74,5.03,1.95,,
October,5.02,4.71,2.85,10.55,2.12,3.25,6.10,8.54,2.86,4.25,,
November,6.24,3.78,3.15,3.20,2.20,7.29,5.04,3.65,3.28,4.20,,
December,6.23,4.24,4.90,3.52,5.62,5.90,2.54,6.06,3.49,4.00,,
Total,50.08,34.80,35.61,62.10,47.10,47.48,45.89,55.25,36.45,40.05,,
Calc annual,50.08,34.80,35.61,62.10,47.10,47.48,45.89,55.25,36.45,40.05,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
