"WEST DERBY GROVE HOUSE",,,,,,,,,,,,
Grid ref,SJ399938,Long,-2.906163,Lat,53.437534,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.48,5.04,1.25,,,,
February,,,,,,1.62,2.67,1.59,,,,
March,,,,,,3.43,2.49,2.36,,,,
April,,,,,,2.70,1.22,1.41,,,,
May,,,,,,0.53,3.01,3.27,,,,
June,,,,,,1.67,1.31,6.81,,,,
July,,,,,,2.24,1.05,3.29,,,,
August,,,,,,3.52,2.63,4.59,,,,
September,,,,,,1.86,1.91,0.77,,,,
October,,,,,,3.43,5.98,3.54,,,,
November,,,,,,4.35,2.48,3.49,,,,
December,,,,,,0.49,3.60,3.00,,,,
Total,,,,,,27.32,33.39,35.37,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.32,33.39,35.37,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,,
