"LIVERPOOL GROVE PARK",,,,,,,,,,,,
Grid ref,SJ371886,Long,-2.947266,Lat,53.390473,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,,,,,,,,,,,
February,3.90,,,,,,,,,,,
March,1.10,,,,,,,,,,,
April,1.25,,,,,,,,,,,
May,1.62,,,,,,,,,,,
June,2.67,,,,,,,,,,,
July,2.40,,,,,,,,,,,
August,5.30,,,,,,,,,,,
September,1.17,,,,,,,,,,,
October,4.09,,,,,,,,,,,
November,3.17,,,,,,,,,,,
December,2.78,,,,,,,,,,,
Total,33.09,25.50,27.50,,28.00,,,,,,,
Calc annual,33.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,25.50,27.50,NaN,28.00,NaN,NaN,NaN,NaN,NaN,,
