"STAFFORD, TIPPING STREET",,,,,,,,,,,,
Grid ref,SJ923232,Long,-2.115664,Lat,52.806295,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.19,1.82,2.28,1.20,4.10,1.55,1.30,1.45,,
February,,,1.22,1.27,3.06,0.75,2.38,1.57,1.50,0.43,,
March,,,1.56,3.99,1.46,2.93,1.77,1.38,2.78,2.76,,
April,,,1.59,1.67,1.87,1.99,1.66,1.82,2.61,2.14,,
May,,,2.34,2.28,2.30,0.48,2.57,4.22,3.41,1.61,,
June,,,2.30,1.14,0.47,2.56,1.49,2.77,2.24,3.14,,
July,,,1.63,1.85,1.72,1.65,0.70,2.77,2.88,3.38,,
August,,,3.91,4.56,3.96,4.18,2.10,2.73,3.58,2.22,,
September,,,1.55,3.82,2.00,1.02,1.64,0.91,2.08,3.19,,
October,,,2.39,5.04,0.94,1.45,4.80,3.89,2.14,4.15,,
November,,,1.80,2.40,1.78,2.87,2.90,2.43,1.87,0.95,,
December,,,1.97,1.92,2.00,0.63,3.15,2.61,2.38,4.86,,
Total,31.50,25.00,23.45,31.76,23.84,21.71,29.26,28.65,28.77,30.28,,
Calc annual,0.00,0.00,23.45,31.76,23.84,21.71,29.26,28.65,28.77,30.28,,
Difference,31.50,25.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
