"BEINN A'AN WEST NO 10",,,,,,,,,,,,
Grid ref,NN502082,Long,-4.418839,Lat,56.242646,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.60,,,,,,,,,
February,,,1.90,,,,,,,,,
March,,,3.20,,,,,,,,,
April,,,2.80,,,,,,,,,
May,,,5.20,,,,,,,,,
June,,,5.40,,,,,,,,,
July,,,6.26,,,,,,,,,
August,,,3.30,,,,,,,,,
September,,,4.00,,,,,,,,,
October,,,3.70,,,,,,,,,
November,,,5.20,,,,,,,,,
December,,,6.10,,,,,,,,,
Total,,,50.66,,,,,,,,,
Calc annual,0.00,0.00,50.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
