"CHESTERFIELD LINACRE RESERVOIR",,,,,,,,,,,,
Grid ref,SK337725,Long,-1.496410,Lat,53.248453,,,,,,,
Station no,2717,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.76,2.86,1.47,4.14,3.87,1.59,4.50,1.11,1.52,1.68,,
February,4.98,1.58,2.18,2.05,5.07,1.98,3.78,2.30,2.52,0.76,,
March,0.96,3.25,2.06,3.93,2.21,3.46,2.26,2.58,3.88,4.01,,
April,1.16,1.85,3.20,2.00,1.66,2.48,1.00,1.86,2.66,1.75,,
May,1.45,1.43,2.86,3.20,2.43,0.51,2.12,4.05,2.64,1.71,,
June,3.26,1.45,1.40,1.19,1.11,3.32,2.10,4.44,1.76,3.34,,
July,3.41,4.22,1.96,2.72,2.81,1.70,0.97,2.02,2.19,3.32,,
August,4.65,1.09,4.64,5.58,4.02,4.02,1.61,2.39,3.52,2.46,,
September,0.72,0.83,1.66,3.58,1.20,1.42,0.83,0.49,1.85,2.22,,
October,2.97,2.18,3.15,6.95,0.49,1.76,6.33,5.37,1.19,4.05,,
November,2.51,4.23,2.92,2.31,1.92,4.23,3.34,2.70,1.48,0.58,,
December,4.58,6.72,2.68,1.86,1.53,0.62,2.98,2.76,2.56,6.77,,
Total,35.41,31.69,30.18,39.51,28.32,-999.00,31.82,32.07,27.77,32.65,,
Calc annual,35.41,31.69,30.18,39.51,28.32,27.09,31.82,32.07,27.77,32.65,,
Difference,0.00,0.00,0.00,-0.00,0.00,-1026.09,0.00,0.00,-0.00,0.00,,
