"BATH HENRIETTA PARK",,,,,,,,,,,,
Grid ref,ST752652,Long,-2.357767,Lat,51.385298,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.27,2.01,1.62,3.80,3.20,0.61,4.26,1.23,1.24,1.17,,
February,5.68,0.85,0.85,1.78,3.61,0.86,2.09,1.26,1.32,0.66,,
March,1.27,2.49,1.79,3.83,1.86,3.64,1.69,0.70,2.72,3.41,,
April,1.24,2.83,1.36,3.14,1.80,2.47,1.24,3.57,2.99,2.13,,
May,2.36,1.24,2.03,5.05,1.97,0.07,1.81,2.97,1.15,1.56,,
June,1.92,1.90,3.17,4.38,1.46,3.48,2.64,2.39,0.51,2.68,,
July,1.28,2.86,1.56,3.03,2.45,0.56,1.03,4.80,2.53,1.95,,
August,2.56,1.53,2.64,3.94,2.82,3.98,1.94,2.21,4.15,3.22,,
September,0.56,2.50,1.65,2.24,1.37,1.66,0.76,0.49,2.11,3.12,,
October,2.74,1.60,1.95,6.90,0.71,1.45,4.91,5.67,1.72,4.56,,
November,2.61,0.66,2.58,2.12,1.81,3.08,3.00,2.23,0.96,1.21,,
December,6.40,5.94,2.20,2.36,1.96,0.93,1.87,4.80,2.73,4.49,,
Total,31.89,26.41,23.40,42.57,25.02,22.79,27.24,32.32,24.13,30.16,,
Calc annual,31.89,26.41,23.40,42.57,25.02,22.79,27.24,32.32,24.13,30.16,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
