"NAILSWORTH HORSLEY COURT",,,,,,,,,,,,
Grid ref,ST839982,Long,-2.234268,Lat,51.682328,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.39,,,,
February,,,,,,,,1.90,,,,
March,,,,,,,,0.87,,,,
April,,,,,,,,4.01,,,,
May,,,,,,,,2.30,,,,
June,,,,,,,,3.93,,,,
July,,,,,,,,3.79,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.19,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
