"LITTLEPORT HIGHFIELD HOUSE",,,,,,,,,,,,
Grid ref,TL563863,Long,0.298663,Lat,52.452298,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.02,0.57,0.91,1.55,1.43,0.98,2.74,1.09,0.73,0.57,,
February,2.33,0.74,1.00,0.47,2.36,0.92,1.78,0.84,1.17,0.18,,
March,0.60,1.52,1.13,2.00,1.00,1.58,1.35,0.95,1.39,2.11,,
April,1.30,1.89,0.99,1.24,0.64,1.39,0.61,2.25,2.36,1.16,,
May,0.87,0.76,2.71,2.98,1.83,1.34,0.89,2.48,0.66,1.67,,
June,2.27,0.87,2.70,2.35,0.71,3.14,4.12,1.15,0.98,4.55,,
July,1.12,1.01,1.43,3.94,1.99,0.61,0.53,2.42,2.44,4.27,,
August,2.66,1.29,2.58,2.77,1.60,1.90,0.77,1.69,2.33,2.03,,
September,0.46,1.04,0.74,2.62,1.53,3.04,0.57,0.44,1.05,1.74,,
October,2.27,1.15,1.40,4.95,1.14,1.65,3.16,2.11,1.01,3.35,,
November,2.04,1.33,1.13,1.75,1.22,1.57,3.12,2.34,0.75,0.43,,
December,1.95,2.64,1.14,1.03,1.40,0.75,1.68,2.47,1.29,3.33,,
Total,20.89,14.81,17.86,27.65,16.85,18.87,21.32,20.23,16.16,25.39,,
Calc annual,20.89,14.81,17.86,27.65,16.85,18.87,21.32,20.23,16.16,25.39,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
