"HORSLEY WEST",,,,,,,,,,,,
Grid ref,TQ088530,Long,-0.441933,Lat,51.265782,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.50,0.99,2.95,,,,,,,,
February,,1.76,1.08,1.90,,,,,,,,
March,,3.32,2.14,3.64,,,,,,,,
April,,2.63,1.24,2.11,,,,,,,,
May,,0.63,2.75,4.81,,,,,,,,
June,,1.55,4.46,6.57,,,,,,,,
July,,2.32,1.00,4.81,,,,,,,,
August,,1.84,3.32,5.27,,,,,,,,
September,,2.10,1.29,4.52,,,,,,,,
October,,2.31,2.27,5.93,,,,,,,,
November,,0.58,3.17,2.06,,,,,,,,
December,,4.60,1.49,2.68,,,,,,,,
Total,,25.14,25.20,47.25,,,,,,,,
Calc annual,0.00,25.14,25.20,47.25,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
