"BUDLEIGH SALTERTON SQUABMOOR",,,,,,,,,,,,
Grid ref,SY039839,Long,-3.360593,Lat,50.646833,,,,,,,
Station no,1802,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.62,,3.59,4.36,1.26,5.41,0.94,0.83,1.40,,
February,,0.56,,1.77,6.37,0.80,3.26,1.40,1.53,0.42,,
March,,3.51,,3.62,1.81,4.40,1.18,0.64,3.07,4.83,,
April,,2.80,,1.94,1.04,3.02,1.52,4.55,2.61,1.70,,
May,1.78,0.94,,4.08,2.91,0.87,2.53,2.67,2.15,1.02,,
June,2.52,1.46,,2.50,1.12,2.54,2.30,2.11,0.48,3.18,,
July,0.32,3.53,,3.45,5.31,0.47,1.04,1.50,1.67,2.62,,
August,1.99,0.77,,3.34,2.87,3.62,1.35,1.35,3.17,1.89,,
September,0.85,3.37,,3.62,1.60,1.61,1.09,0.67,2.52,1.73,,
October,1.66,1.26,,6.59,1.59,2.42,4.69,6.56,2.81,5.64,,
November,3.66,0.65,,1.55,1.45,4.59,2.54,2.77,1.16,0.39,,
December,4.96,5.72,,3.50,2.82,0.82,1.43,4.89,3.22,5.03,,
Total,,27.19,,39.55,33.25,26.42,28.34,30.05,25.22,29.85,,
Calc annual,17.74,27.19,0.00,39.55,33.25,26.42,28.34,30.05,25.22,29.85,,
Difference,NaN,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
