"SKIBBEREEN, HOLLYBROOK HOUSE",,,,,,,,,,,,
Grid ref,IW1244436502,Long,-9.263797,Lat,51.574628,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.19,2.88,,
February,,,,,,,,,2.48,4.03,,
March,,,,,,,,,5.34,4.35,,
April,,,,,,,,,3.22,9.30,,
May,,,,,,,,,2.99,2.03,,
June,,,,,,,,,1.06,1.40,,
July,,,,,,,,,5.51,1.96,,
August,,,,,,,,,4.07,0.74,,
September,,,,,,,,,5.42,0.54,,
October,,,,,,,,,2.71,8.50,,
November,,,,,,,,,3.04,1.11,,
December,,,,,,,,,6.57,7.17,,
Total,,,,,,,,,47.60,44.01,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.60,44.01,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
