"ASTON UPTHORPE",,,,,,,,,,,,
Grid ref,SU552861,Long,-1.204930,Lat,51.571076,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.59,,
February,,,,,,,,,,0.59,,
March,,,,,,,,,,2.72,,
April,,,,,,,,,,1.52,,
May,,,,,,,,,,1.28,,
June,,,,,,,,,,4.47,,
July,,,,,,,,,,1.70,,
August,,,,,,,,,,3.16,,
September,,,,,,,,,,3.55,,
October,,,,,,,,,,3.09,,
November,,,,,,,,,,0.48,,
December,,,,,,,,,,3.07,,
Total,,,,,,,,,,26.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.22,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
