"TIVERTON ST PETER STREET",,,,,,,,,,,,
Grid ref,SS953126,Long,-3.490369,Lat,50.903349,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.24,3.90,1.95,4.44,4.99,1.75,6.59,1.61,1.44,1.62,,
February,4.24,1.32,1.63,1.71,6.35,1.53,4.03,1.86,2.46,0.53,,
March,1.77,2.93,2.25,4.08,2.26,4.76,2.37,0.93,3.41,5.25,,
April,1.81,3.62,1.57,2.87,1.20,3.08,1.11,5.07,2.92,2.93,,
May,2.06,0.60,2.32,3.66,2.82,0.24,2.27,2.90,1.77,1.49,,
June,2.88,3.39,2.77,2.74,0.93,2.89,1.33,3.15,0.71,2.79,,
July,1.19,1.39,2.12,3.62,5.93,1.08,0.69,1.72,1.71,2.44,,
August,2.36,2.11,3.02,3.44,2.61,4.90,2.40,2.42,3.46,1.56,,
September,0.77,2.68,2.61,4.86,3.14,1.61,1.02,0.86,2.48,2.40,,
October,3.43,2.65,3.11,8.00,2.36,2.62,5.37,7.11,2.54,6.19,,
November,4.71,0.74,4.73,3.22,2.88,3.64,4.53,3.20,1.56,1.33,,
December,5.34,6.42,3.31,4.44,2.96,1.29,2.92,5.05,3.99,5.66,,
Total,35.80,31.75,31.39,47.08,38.43,29.39,34.63,35.88,28.45,34.19,,
Calc annual,35.80,31.75,31.39,47.08,38.43,29.39,34.63,35.88,28.45,34.19,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
