"GARSTANG BARNACRE RESERVOIR",,,,,,,,,,,,
Grid ref,SD528481,Long,-2.720278,Lat,53.926867,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.89,1.73,2.68,4.76,4.71,2.76,5.63,2.50,4.32,2.07,,
February,3.52,2.05,1.84,5.00,4.29,2.15,3.82,2.47,3.19,2.59,,
March,0.55,3.80,3.43,4.55,3.50,3.43,4.13,5.19,3.23,3.22,,
April,2.85,2.64,1.70,1.83,3.85,3.42,1.88,1.99,3.40,4.25,,
May,1.81,1.08,3.58,3.91,2.97,1.02,5.68,4.27,3.23,2.45,,
June,3.65,2.25,1.27,1.92,1.96,2.40,3.57,9.24,2.85,2.96,,
July,3.64,0.97,4.93,5.12,2.92,3.09,3.17,3.75,4.91,7.81,,
August,6.03,3.93,3.24,7.10,4.19,5.02,4.04,6.73,5.43,4.21,,
September,2.39,1.82,1.48,6.09,2.11,3.76,1.72,1.20,6.36,3.18,,
October,7.21,4.87,4.89,9.91,3.29,3.86,7.37,5.03,2.38,6.25,,
November,4.70,4.62,2.77,4.09,4.15,5.16,3.52,4.99,4.34,2.14,,
December,6.24,5.59,4.73,3.41,4.33,1.17,4.04,5.14,3.80,8.95,,
Total,47.48,35.35,36.54,57.69,42.27,37.24,48.57,52.50,47.44,50.08,,
Calc annual,47.48,35.35,36.54,57.69,42.27,37.24,48.57,52.50,47.44,50.08,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
